ID,First_name,Last_name,Email,Client Name,Registration Date,Description,Status,Case Type
3820,Rob,Triggle,kinsley0@yolasite.com,Kat,02/08/2022,Child custody support ,1,Family Law
0445,Lainey,Cantua,bpryell1@army.mil,Broddie,12/03/2023,Landlord-Tenant Disputes,1,Real Estate Law
2709,Dorine,Alsina,marchdeckne2@lulu.com,Mattheus,04/09/2022,Divorce Proceedings,1,Family Law
9787,Harold,Owers,sstallybrass3@icio.us,Nil,31/05/2022,Nil,0,Family Law
8976,Murray,Wilmington,sfarley4@1und1.de,Shell,23/04/2023,Domestic Violence,1,Criminal Law
9265,Vonny,Mackieson,mlody5@acquirethisname.com,Merlina,07/05/2023,Business Bankruptcy,1,Bankruptcy Law
7808,Nick,Britto,sshurman6@1688.com,Nil,10/08/2022,Nil,0,Bankruptcy Law
3024,Husain,Doucette,tpetters7@indiegogo.com,Nil,28/11/2023,Nil,0,Criminal Law
4717,Luke,Sywell,crogerson8@abc.net.au,Carlo,11/10/2023,Deportation Defense,1,Immigration Law
8179,Parke,Standeven,kchadbourne9@kickstarter.com,Kareem,14/09/2023,Citizenship Applications,1,Immigration Law
3528,Ariadne,Marqyes,pvanvuurena@netvibes.com,Nil,06/08/2022,Nil,0,Family Law
3399,Dore,Dahlen,amcmylorb@earthlink.net,Artemas,15/11/2023,Contract Dispute,1,Business Law
4577,Gram,Du Fray,yskittlec@netvibes.com,Nil,18/03/2023,Nil,0,Tax Law
0976,Delmore,Tchaikovsky,pbogiesd@sohu.com,Nil,07/04/2022,Nil,0,Defense Law
0399,Skye,Peterson,mkollache@github.com,Nil,23/05/2023,Nil,0,Tax Law
3289,Kerr,Drakard,njenicekf@addtoany.com,Noel,30/08/2023,Debt Restructuring,1,Bankruptcy Law
0690,Jacquenetta,Pennycook,mgaggg@vkontakte.ru,Myrwyn,01/12/2022,Ownership disputes,1,Real Estate Law
6178,Brien,McKeever,hflintofth@mlb.com,Nil,24/05/2022,Nil,0,Criminal Law
4587,Sheri,Heap,eegdelli@opensource.org,Nil,15/12/2022,Nil,0,Criminal Law
1397,Harriet,Tole,rhayllerj@unc.edu,Retha,17/03/2022,Tax Disputes,1,Tax Law
6138,Mohandis,Franscioni,ajurickk@twitter.com,Nil,28/01/2022,Nil,0,Business Law
3225,Julee,Saltern,dabramofl@stumbleupon.com,Diandra,09/05/2022,Citizenship Applications,1,Immigration Law
7879,Darill,Govier,ebuttwellm@house.gov,Nil,18/07/2022,Nil,0,Immigration Law
6473,Amalia,Trimnell,hashbridgen@ibm.com,Nil,14/08/2022,Nil,0,Family Law
1244,Carmelina,Raithby,emeffano@livejournal.com,Nil,16/06/2023,Nil,0,Tax Law
8740,Olin,Mottram,jgandrichp@yellowpages.com,Nil,29/09/2022,Nil,0,Family Law
0787,Banky,Jozaitis,tjardeinq@altervista.org,Timofei,21/11/2023,Contract Dispute,1,Business Law
7801,Bidget,Biggar,tsebirer@noaa.gov,Tad,08/09/2022,Corporate Governance,1,Business Law
5445,Jeni,Andrei,awormstones@oaic.gov.au,Alysa,28/12/2023,Drug offences,1,Criminal Law
4259,Quillan,Thaller,abahiat@fc2.com,Anabella,24/02/2022,Embezzelment,1,Criminal Law
