File No.,First_name,Last_name,Email,Client Name,Priority,Status,Case Type,Payement
697,Rob,Triggle,kinsley0@yolasite.com,Kat,1,C,Family Law,
142,Lainey,Cantua,bpryell1@army.mil,Broddie,2,C,Real Estate Law,
730,Dorine,Alsina,marchdeckne2@lulu.com,Mattheus,1,O,Family Law,
569,Harold,Owers,sstallybrass3@icio.us,Nil,2,C,Family Law,
308,Murray,Wilmington,sfarley4@1und1.de,Shell,1,O,Criminal Law,
699,Vonny,Mackieson,mlody5@acquirethisname.com,Merlina,1,C,Bankruptcy Law,
696,Nick,Britto,sshurman6@1688.com,Nil,2,O,Bankruptcy Law,
868,Husain,Doucette,tpetters7@indiegogo.com,Nil,1,C,Criminal Law,
910,Luke,Sywell,crogerson8@abc.net.au,Carlo,2,O,Immigration Law,
845,Parke,Standeven,kchadbourne9@kickstarter.com,Kareem,1,O,Immigration Law,
545,Ariadne,Marqyes,pvanvuurena@netvibes.com,Nil,1,C,Family Law,
724,Dore,Dahlen,amcmylorb@earthlink.net,Artemas,2,O,Business Law,
412,Gram,Du Fray,yskittlec@netvibes.com,Nil,2,C,Tax Law,
114,Delmore,Tchaikovsky,pbogiesd@sohu.com,Nil,1,C,Defense Law,
378,Skye,Peterson,mkollache@github.com,Nil,2,C,Tax Law,
420,Kerr,Drakard,njenicekf@addtoany.com,Noel,2,C,Bankruptcy Law,
453,Jacquenetta,Pennycook,mgaggg@vkontakte.ru,Myrwyn,1,O,Real Estate Law,
168,Brien,McKeever,hflintofth@mlb.com,Nil,1,C,Criminal Law,
247,Sheri,Heap,eegdelli@opensource.org,Nil,2,O,Criminal Law,
333,Harriet,Tole,rhayllerj@unc.edu,Retha,2,C,Tax Law,
939,Mohandis,Franscioni,ajurickk@twitter.com,Nil,2,C,Business Law,
555,Julee,Saltern,dabramofl@stumbleupon.com,Diandra,1,C,Immigration Law,
862,Darill,Govier,ebuttwellm@house.gov,Nil,1,O,Immigration Law,
727,Amalia,Trimnell,hashbridgen@ibm.com,Nil,1,C,Family Law,
903,Carmelina,Raithby,emeffano@livejournal.com,Nil,2,C,Tax Law,
461,Olin,Mottram,jgandrichp@yellowpages.com,Nil,1,C,Family Law,
862,Banky,Jozaitis,tjardeinq@altervista.org,Timofei,2,C,Business Law,
381,Bidget,Biggar,tsebirer@noaa.gov,Tad,1,C,Business Law,
484,Jeni,Andrei,awormstones@oaic.gov.au,Alysa,1,C,Criminal Law,
856,Quillan,Thaller,abahiat@fc2.com,Anabella,2,O,Criminal Law,
380,,,,,,,,
941,,,,,,,,
850,,,,,,,,
840,,,,,,,,
924,,,,,,,,
711,,,,,,,,
296,,,,,,,,
100,,,,,,,,
