Username,Password,Role
mariam,mf199,User
shresti,ss13,Lawyer
grehnag,123,User
DanielPark,parkdaniel32,User
grehnam,gg06,Lawyer
Taehyung,tyung700,Lawyer
ParvatiPatil,pattypatil4,Lawyer
PadmaPatil,padmapatil6,Lawyer
HarryPotter,potterhead1,Lawyer
mariamf,123,Lawyer
shrestis,123,User
GinnyWeasley,weasly19,Lawyer
PercyJackson,jackson1100,Lawyer
AnnabethChase,anna6123,Lawyer
MagnusChase,chase89,User
AlexFierro,alex88,User
CarterKane,cart281,User
Anubius,any818,User
JamesLee,JaMEs41,User
PSY,spy765,User
RobTriggle,88726,User
HaroldOwers,12SCIB,Intern
QuillanThaller,12SCIB,Intern
JeniAndrei,12SCIB,Intern
SkyePeterson,12SCIB,Intern
GramDu,12SCIB,Intern
NickBritto,12SCIB,Intern
LukeSywell,12SCIB,Intern
DelmoreTchaikovsky,99delmore,User
DoreDahlen,0dore0,User
AriadneMarqyes,ari8190,User
LaineyCantua,l9090,User
DorineAlsina,alsina1010,User
MurrayWilmington,12SCIB,Intern
VonnyMackieson,12SCIB,Intern
HusainDoucette,12SCIB,Intern
ParkeStandeven,12SCIB,Intern
KerrDrakard,kerr877,Lawyer
JacquenettaPennycook,123456Jackie,Lawyer
BrienMcKeever,Mckeever8218,Lawyer
SheriHeap,heap100,Lawyer
HarrietTole,toley1,User
MohandisFranscioni,mohan4435,Lawyer
JuleeSaltern,12SCIB,Intern
DarillGovier,12SCIB,Intern
AmaliaTrimnell,amalia8882,Lawyer
CarmelinaRaithby,12SCIB,Intern
OlinMottram,12SCIB,Intern
BankyJozaitis,Bank69,Lawyer
BidgetBiggar,bigger420,User
grehna,1234,Managing Partner
